GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,SondageDto,104,28,13,3,14,10,16,7,9,6
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,CommentaireDto,47,31,7,3,4,11,6,8,2,7
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,DateSondeeDto,58,20,7,3,9,6,9,5,5,4
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,ParticipantDto,73,13,7,3,13,3,12,3,8,2
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,DateSondageDto,43,17,5,3,7,5,7,4,4,3
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey,MySurveyApplication,8,0,0,0,3,0,2,0,2,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,Commentaire,6,35,0,0,2,13,2,7,2,7
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,Sondage,73,43,0,0,23,15,10,8,10,8
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,DateSondage,39,27,0,0,12,9,5,5,5,5
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,Participant,140,42,13,3,21,12,18,7,11,6
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,DateSondee,47,21,0,0,14,7,7,3,7,3
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,Choix,34,0,0,0,2,0,1,0,1,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,SondageService,0,62,0,4,0,16,0,8,0,6
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,DateSondeeService,0,50,0,2,0,13,0,5,0,4
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,CommentaireService,0,66,0,4,0,17,0,7,0,5
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,ParticipantService,0,53,0,4,0,14,0,8,0,6
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,DateSondageService,0,46,0,2,0,12,0,6,0,5
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,DateSondageController,0,40,0,0,0,10,0,3,0,3
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,CommentaireController,0,35,0,0,0,9,0,3,0,3
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,SondageController,16,175,0,0,4,33,3,12,3,12
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,ParticipantController,0,86,0,0,0,16,0,7,0,7
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.configurations,SwaggerConfig,29,0,0,0,12,0,3,0,3,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.configurations,ModelMapperConfig,155,0,0,0,26,0,16,0,16,0
